dsrc_delay;vehicle_delay;throughput
0;9.387590361445785;89.5
10;9.558862275449103;88.5
20;9.398536585365854;88.5
30;11.99;89.5
40;10.463053892215568;89
50;10.809277108433735;90
60;13.33375;87.5
70;18.816446280991734;68.5
80;15.848333333333334;68
90;35.024482758620685;54.5
100;38.065949367088606;51
